"App analysis","Type of security issue","Security is only mentioned, not the main focus","Security is the main focus","Users study","Not MAR","Mobile App related (MAR)","Document Title","Abstract","Chosen","Authors","Publication Year","DOI","Link","Content type"
"No","""""","No","No","Yes","No","Yes","""""Usability Evaluation of FinTech Mobile Applications: A Statistical Approach""""","""""FinTech is an emerging technology comprises of two words i.e. financial and technology. FinTech is proving to be a disruptive technology and is meant to help users in managing their day-to-day financial activities. The FinTech industry is growing up enormously in Pakistan for the last few years, due to the continuous development in information technology; user expectations are continuously increasing in financial services owing to transparency, convenience, privacy and security, moreover, it has simple and effective interface. However, usability issues of FinTech mobile applications across various age groups are still unclear. Usability is the key feature in mobile apps because the term usability is associated with both performance and satisfaction, various questionnaires were conducted among various age groups in this study, and results were analyzed separately by gender. In this study, we found out and elaborate the usability of FinTech mobile apps among various age groups through a quantitative survey and progressively centered analysis around features affecting the elderly people on adopting FinTech mobile apps in Pakistan. Therefore, a quantitative analysis have been applied on the collected data to Figure out the issues of FinTech in detail, which currently has impact on the quality of FinTech mobile apps directly and indirectly. It also provides comprehensive statistical analysis by analyzing and applying on respondents’ profile, frequencies, T-test, reliability test, nonparametric test and descriptive studies through SPSS. Therefore, the interface design must be easy to use for everyone, especially for the elderly. Using the finance related Information apps on cell phones in a superior manner will improve the user’s satisfaction. It proves that, the interface design guarantees the success of any mobile app.""""","","""""A. Wahab; T. M. Alam; M. M. Raza""""","2021","10.1109/ICIC53490.2021.9691512","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9691512","IEEE Conferences"
"No","""""","No","No","No","Yes","No","""""Using the Smart Card Web Server in Secure Branchless Banking""""","""""In remote areas of developing countries, the mobile phone network may be the only connection with outside organizations such as banks. SMS messages are used in branchless banking schemes such as M-PESA in Kenya, but can be vulnerable to SMS spoofing exploits. This paper proposes a branchless banking system for withdrawal, deposit and transfer transactions, using an application on the phone’s tamper-resistant Subscriber Identity Module (SIM) equipped with a Smart Card Web Server (SCWS) and public key cryptography capabilities.""""","","""""Sheila Cobourne; Keith Mayes; Konstantinos Markantonakis""""","2013","10.1007/978-3-642-38631-2_19","https://link.springer.com/chapter/10.1007/978-3-642-38631-2_19","chapter"
"Yes","""""Privacy, code vulnerability, etc.""""","No","Yes","No","No","Yes","""""Vulnerability Analysis in Mobile Banking and Payment Applications on Android in African Countries""""","""""In this paper, we analyze vulnerability of some mobile banking and payment applications on Android platforms. This analysis aims at performing vulnerability assessments, facilitating an informed assessment of the information security and privacy risks that mobile banking and payment applications face in African countries, and creating awareness in the research and practice communities. We especially try to assess the risks of attacks related to privacy and data confidentiality by checking access permissions and code vulnerability of these applications. Another purpose of our work is to enable users, businesses and governments to take advantage of the opportunities offered by mobile banking and payment applications while minimising the information security risks to which they are exposed.  """"","Yes","""""Didier Bassolé; Gouayon Koala; Yaya Traoré; Oumarou Sié""""","2020","10.1007/978-3-030-51051-0_12","https://link.springer.com/chapter/10.1007/978-3-030-51051-0_12","chapter"
"No","""Security and privacy""","No","Yes","Yes","No","Yes","""""“Desperate Times Call for Desperate Measures”: User Concerns with Mobile Loan Apps in Kenya""""","""""The usage of mobile loan applications has proliferated in developing countries. This is due to the ease and speed in which they disburse small loans to users, compared to traditional financial institutions, such as banks, that only offer similar loans based on existing customer relationship or collateral. As mobile loan apps are a relatively new industry, these apps are mostly unregulated and therefore tend to charge extremely high interest rates. Further, they collect and sometimes misuse sensitive user data through the course of verifying customers and ensuring loan repayment, such as users’ contacts and SMS communications through the mobile device permission system. Yet, the reasons for usage as well as privacy concerns with these mobile loan apps in the developing world, and specifically in Kenya, remain largely unexplored. To investigate mobile loan apps, we conducted semi-structured interviews (n = 20) with loan app users in Kenya, and we find that most users generally have privacy concerns, particularly regarding access to their phones’ contacts. However, they often overlook these concerns as this outweighs their need to procure loans. At the same time, we find that users struggle to understand the use of permissions by these mobile loan apps (and mobile apps generally), confirming prior research on comprehension of Android permissions. Our results highlight privacy risks, concerns and behavior with the emerging mobile loan app marketplace in the developing world, and we offer recommendations that can help protect their users’ security and privacy, including the need for transparent communication by these apps on how they collect, use and secure their users’ data.""""","Yes","""""C. W. Munyendo; Y. Acar; A. J. Aviv""""","2022","10.1109/SP46214.2022.9833779","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833779","IEEE Conferences"
"Yes","""Permissions abused""","No","Yes","No","No","Yes","""""Side-Effects of Permissions Requested by Mobile Banking on Android Platform: A Case Study of Morocco""""","""""No one among us can deny that Android has become in the last years one of the most popular mobile operating systems worldwide, as the price of this popularity, Android becomes the favorite destination of hackers and the main target of various attacks, which takes advantage of the users' ignorance. Nowadays, Android security has become a big problem due to the free app provided and features that make it very easy for anyone to develop it. Among the applications installed under Android we found M-Banking applications that are of course infected by the security problems that surround Android applications in all the coasts and we mention here especially the permissions requested when installing an M-Banking application that had in most cases no relation with their features or services provided. In this paper, we investigated the danger of the permissions requested by mobile banking applications, their effects on sensitive user data and that their relationship with the attack called ""Man in the middle"" and its different forms and we took Morocco as a case of study.""""","Yes","""""Latifa, Er-rajy and Ahemed, El Kiram My and Mohamed, El Ghazouani""""","2017","10.1145/3108421.3108433","https://doi-org.proxy.bnl.lu/10.1145/3108421.3108433",""
"No","""Security and privacy""","No","Yes","Yes","No","Yes","""""We Don't Give a Second Thought Before Providing Our Information: Understanding Users' Perceptions of Information Collection by Apps in Urban Bangladesh""""","""""With a rapid increase in the use of digital technologies, people in the Global South including Bangladesh are exposed to a wide-range of smartphone applications (termed as apps in this paper), which offer a variety of features and services. However, privacy leakage through apps has increasingly become a major concern in Bangladesh, where the app collecting users' sensitive information without their consent was reported in news media for privacy violation. Our study with 32 participants from varying age, literacy level, and profession in Dhaka, Bangladesh unveils the perceptions of people around data collection and sharing by the app reported in privacy leakage news. All of our participants were aware of information leakage through the app they use, where they possess varying perceptions around providing personal information, like a sense of benefit, necessity and contribution, indifference, fear, or (no) authority over data collection. Our analysis reveals the relation between users' privacy perceptions, local infrastructure, and social practices in Bangladesh, where we identify the situated challenges that interfere with people's understanding of privacy notice. Our results lead to a discussion on how people's privacy perceptions are influenced by rapid urbanization and the opportunities offered by digitization in Bangladesh. Based on our findings, we provide recommendations to develop situated and sustainable strategies to enhance privacy awareness and practices in the social setting of Bangladesh, and Global South.""""","Yes","""""Al-Ameen, Mahdi Nasrullah and Tamanna, Tanjina and Nandy, Swapnil and Ahsan, M. A. Manazir and Chandra, Priyank and Ahmed, Syed Ishtiaque""""","2020","10.1145/3378393.3402244","https://doi-org.proxy.bnl.lu/10.1145/3378393.3402244",""
"No","""""","Yes","No","Yes","Yes","No","""""“It Cannot Do All of My Work”: Community Health Worker Perceptions of AI-Enabled Mobile Health Applications in Rural India""""","""""Recent advances in Artificial Intelligence (AI) suggest that AI applications could transform healthcare delivery in the Global South. However, as researchers and technology companies rush to develop AI applications that aid the health of marginalized communities, it is critical to consider the needs and perceptions of the community health workers (CHWs) who will have to integrate these AI applications into the essential healthcare services they provide to rural communities. We describe a qualitative study examining CHWs’ perceptions of an AI application for automated disease diagnosis. Drawing on data from 21 interviews with CHWs in rural India, we characterize (1) CHWs’ knowledge, perceptions, and understandings of AI; and (2) the benefits and challenges that CHWs anticipate as AI applications are integrated into their workflows, including their opinions on automation of their work, possible misdiagnosis and errors, data access and surveillance issues, security and privacy challenges, and questions concerning trust. We conclude by discussing the implications of our work for HCI and AI research in low-resource environments.""""","","""""Okolo, Chinasa T. and Kamath, Srujana and Dell, Nicola and Vashistha, Aditya""""","2021","10.1145/3411764.3445420","https://doi-org.proxy.bnl.lu/10.1145/3411764.3445420",""
"No","""Security and privacy""","Yes","No","Yes","No","Yes","""""Adoption of Covid-19 contact tracing app by extending UTAUT theory: Perceived disease threat as moderator""""","""""Objectives
Contact tracing applications are technological solutions that can quickly trace and notify users of their potential exposure to the Covid-19 virus and help contain the spread of the disease. However, extant research delineating the various factors predicting the adoption of contact tracing apps is scant. The study's primary objective is to develop and validate a research model based on the unified theory of acceptance and use of technology (UTAUT), health belief model (HBM), perceived privacy risk and perceived security risk to understand the adoption of contact tracing application.
Methods
An online survey was carried out among users of the ‘Aarogya Setu’ contact tracing app in India. The partial least squares structural equation modelling (PLS-SEM) tool was employed to analyze data from 307 respondents.
Results
The results showed that performance expectancy, social influence, and facilitating conditions positively influenced users’ intention to adopt the app. In contrast, perceived privacy and security risks were significant barriers to app adoption. Perceived disease threat as a moderator mitigated the adverse impact of perceived privacy risk on users' intention to adopt contact tracing apps.
Conclusions
The current study gives insights on both drivers and barriers to the adoption of contract tracing applications. Various theoretical and practical implications of significance are provided for academicians and practitioners to effectively promote app adoption to tackle the Covid-19 pandemic.""""","Yes","""""Prasanta Kr Chopdar""""","2022","https://doi.org/10.1016/j.hlpt.2022.100651","https://www.sciencedirect.com/science/article/pii/S2211883722000594",""
"No","""Security and privacy""","Yes","No","Yes","No","Yes","""""Understanding digital contact tracing app continuance: Insights from India""""","""""Objectives
Digital contact tracing (DCT) was touted as an effective alternative to lockdown and other restrictive measures in controlling the spread of the COVID-19 pandemic. Despite considerable investments in research and development, the usage of DCT apps was found to be phenomenally low across the world. In this context, the current study investigates the factors influencing citizens’ continuance intentions to use the DCT app.
Methods
A theoretical framework was developed by extending the Expectation-confirmation model (ECM) of Information system continuance with Technology trust theory and a contextual factor perceived security and privacy to predict citizens’ continuance intentions to use the DCT app. The model was empirically tested using data from a field survey of 206 actual users of a DCT app implemented in India.
Results
The findings reveal that user satisfaction, trust in government, and trust in technology are significant predictors of citizens’ continuance intention. The model demonstrates high explanatory power by explaining 57.8% of the variance of continuance intention. It also validates the role of perceived security and privacy and trust in technology in determining user satisfaction.
Conclusion
The study makes a theoretical contribution by extending the ECM framework to predict DCT app continuance behavior. The insights from the study could be helpful for developers and policymakers in crafting strategies to improve the usage of DCT apps during future disease outbreaks.""""","Yes","""""Ashish Viswanath Prakash and Saini Das and K. Rajasekharan Pillai""""","2021","https://doi.org/10.1016/j.hlpt.2021.100573","https://www.sciencedirect.com/science/article/pii/S2211883721000964",""
"No","""Malware""","No","Yes","No","Yes","No","""""The rise of “malware”: Bibliometric analysis of malware study""""","""""Malicious software (malware) is a computer program designed to create harmful and undesirable effects. It considered as one of the many dangerous threats for Internet users. Rootkit, botnet, worm, spyware and Trojan horse are the most common types of malware. Most malware studies aim to investigate novel approaches of preventing, detecting and responding to malware threats. However, despite the many articles published to support the research activities, there is still no trace of any bibliometric report that demonstrates the research trends. This paper aims to fill in that gap by presenting a comprehensive evaluation of malware research practices. It begins by looking at a pool of over 4000 articles that are published between 2005 and 2015 in the ISI Web of Science database. Using bibliometric analysis, this paper discusses the research activities done in both North America, Asia and other continents. This paper performed a detailed analysis by looking at the number of articles published, citations, research area, keywords, institutions, terms, and authors. A summary of the research activities continues by listing the terms into a classification of malware detection system which underlines the important area of malware research. From the analysis, it was concluded that there are several significant impacts of research activities in Asia, in comparison to other continents. In particular, this paper discusses the number of papers published by Asian countries such as China, Korea, India, Singapore and Malaysia in relation to the Middle East and North America.""""","","""""Mohd Faizal Ab Razak and Nor Badrul Anuar and Rosli Salleh and Ahmad Firdaus""""","2016","https://doi.org/10.1016/j.jnca.2016.08.022","https://www.sciencedirect.com/science/article/pii/S1084804516301904",""
"No","""Storage, crypto, insecure Communication""","No","Yes","Yes","No","Yes","""""User's Perception on Security and Privacy in Using Crypto Currency Trading Application in India""""","""""Crypto trading has grown at an unprecedented rate since the introduction of crypto trading mobile applications. Wallets, which are mobile applications, are frequently used to facilitate user interaction with cryptocurrencies. Attackers are interested in these wallets because of their perceived real-world value. This article examines the security and privacy profiles of the top six cryptocurrency trading mobile apps in India, focusing on understanding user perceptions of cryptocurrency trading apps and their impact on usability, privacy, and security. Unlike regulated financial services and cryptocurrency applications, wallets are exempt from the same stringent security requirements. The author in this paper can infer that there are just a few mobile-based crypto trading applications from this research of all mobile-based crypto trading applications using different penetration testing techniques. Author check these applications for OWASP-defined common vulnerabilities and discover the connections between various security and privacy concerns as well as how varying threat perceptions affect user security behaviors. The paper also examines how mobile applications may affect user privacy.""""","Yes","""""G. Vakare; D. Rautela; H. Shobharam Lamkuche""""","2022","10.1109/ICKECS56523.2022.10060666","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060666","IEEE Conferences"
"","""""","No","Yes","","Yes","No","""""A Framework for Enhancing Cyber Security in Fintech Applications in India""""","""""Fintech currently ranks among the most thriving sectors in terms of both business growth and job creation. Having emerged as the second-largest fin-tech hub in the world (trailing only the United States), India is also experiencing this ’Fintech Boom.’ Fintech’s wider goal is to meet the unmet financial needs of certain demographic groups that aren’t the main focus markets in mainstream financial services models. It is generally believed that India would be data-rich even before it is financially rich, however, the incidents like Facebook data leak, an alleged Aadhar data breach has brought back the focus on data protection and the urgent need for steps to be taken by all the stakeholders for sustainable growth of Fintech sector. Hence, this paper attempts to explore how India has evolved into a renowned Fintech hub, how this Fintech is perceived to contribute to the broadening of financial inclusion, and what are the barriers to further growth for Fintech firms. This paper also proposes approaches that can help professionals and analysts harness Fintech’s untapped potential in India and also suggested remedial measures for limiting cyber-attacks.""""","","""""G. Singh; R. Gupta; V. Vatsa""""","2021","10.1109/ICTAI53825.2021.9673277","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9673277","IEEE Conferences"
"Yes","""Insecure Communication""","No","Yes","No","No","Yes","""""On the MitM vulnerability in mobile banking applications for android devices""""","""""One of the primary concerns that the developers of mobile banking applications should strive to is to ensure the security of user information originating from any of these applications. However, implementing even basic security features, like performing encryption on user data or using HTTPS while connection establishment, on such mobile applications, is often found to be absent either due to the lack of knowledge of user security concerns, or unavailability of security testing experts who can point out the security flaws in the applications. In this paper, we consider man-in-the-middle (MitM) attack, a simple yet powerful attack, as a primary attack to test basic security features that a mobile banking application should impose. We have considered a total of 19 mobile banking applications on Android that are currently got deployed by public sector banks in India and are used by their respective customers. Surprisingly, the In about 90% of these banking applications, we have observed that the attack can be launched with ease even if the applications are using security protocols like HTTPS to establish a communication channel with their respective servers. Moreover, some mobile applications are using simple HTTP protocol to transfer user information without bothering anything about security. Hence, our analysis suggests that a level of revision is required to address the basic security flaws in the mobile banking applications to prevent even simple MitM attack.""""","Yes","""""S. Kaka; V. N. Sastry; R. R. Maiti""""","2016","10.1109/ANTS.2016.7947811","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7947811","IEEE Conferences"
"Yes","""Storage, WebView, IPC, 3rd-party librairies, debug mode""","No","Yes","No","No","Yes","""""Vulnerability detection in recent Android apps: An empirical study""""","""""With the continuous and rapid increase in quantity and diversity of Smartphone application usage, the storage of sensitive personal and even financial information of the users is also being augmented. It creates motivation for developers of malicious applications to put more effort on discovering ways to identify and exploit the vulnerabilities of utility applications and grab the sensitive information of the users. Android applications, being more open in nature and popular among armature individual developers, fall victim to the malwares quite frequently. Recently, the Govt. of Bangladesh has taken initiative to encourage and patronize young developers to develop utility apps for free public use in the context of Bangladesh (app source: EATL1). While the motivation is great, i.e., benefiting common people, the way these are developed and released have reasons to suspect that recent vulnerabilities may exist due. This may harm the users and ruin the good initiative. In this paper, we have carried out an empirical study on a selected set of these apps to detect eight common vulnerabilities. We have carefully chosen three quality tools that cover testing of all these vulnerabilities. We reported the detected results showing vulnerabilities in the tested apps, presented statistics of the vulnerabilities and discussed countermeasures. We believe this study would benefit the developers and indirectly the potential users of these applications.""""","Yes","""""F. H. Shezan; S. F. Afroze; A. Iqbal""""","2017","10.1109/NSysS.2017.7885802","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7885802","IEEE Conferences"
"","""Security and privacy""","No","Yes","Yes","No","Yes","""""State of Survey: Advancement of Knowledge Environmental Sustainability in Practicing Administrative Apps""""","""""Digital technology is growing rapidly in the country. The use of smartphone applications is increasing in Bangladesh, at the same time there are some apps that are important in daily life, whether it is for fun or work by downloading apps on mobile phones. Bangladesh is in an explosive position in terms of app usage to increase internet usage. As modernity has increased, so has the use of apps in consumer performance ( personal or official work, food ordering or online ticketing, banking transactions). However, leaking consumer privacy through the app is now the biggest concern in growing Bangladesh. Reports of privacy violations were also published in various media outlets in Bangladesh. We have completed the work with 310 responses via a survey on how many government app users there are in Bangladesh and why they are reluctant to use the app. Our data collection target was vast but we could not collect more than 310 because the maximum number of people in Bangladesh do not use government apps. In survey analysis, we have learned that people in Bangladesh are not interested in using government apps due to insecurity, simplicity, bugs, UI UX design and reliability issues. Based on our results, the use of these apps will increase if the government can develop apps based on the key points that have been highlighted. In the future, we will use machine learning and deep learning to find out the rate of users’ willingness to use apps, unwillingness, design, bugs, security, etc. As well as ways to increase the use of apps.""""","Yes","""""S. S. Bandan; M. Rahman Ajmain; A. R. Rejuan; M. Farhana Khatun; S. A. Khushbu""""","2022","10.1109/ICCCNT54827.2022.9984416","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9984416","IEEE Conferences"
"Yes","""Malware""","No","Yes","No","No","Yes","""""Malware analysis in mobile devices""""","""""Mobile Devices are used worldwide nowadays and are being used for most of the tasks we do in our everyday lives. This becomes a good reason for bad people to exploit you somehow. One of the ways is through malware attacks. It can harm us by exploiting our privacy, showing advertisements on our mobile devices, browser exploitation, data tampering, phishing, etc. In India, more than 740 million people are using smartphones, approximately 54% of India's population, and the number of users is increasing each year which makes them all vulnerable to such attacks. There are many ways to detect malware hidden in our phones, prevent such attacks, and maintain our privacy. In this paper, we will discuss the approaches we can take to ensure all the users are secure and protected, and we will be talking about pegasus spyware, why this is so dangerous, and how we can stay protected from such malware. We will also be discussing an implementation that can be used to detect malware and alert users to take the necessary steps to make the device secure again.""""","Yes","""""P. Agarwal; A. Nair; S. Jaiswal; N. Batra; P. Grover""""","2022","10.1049/icp.2022.0604","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9800432","IET Conferences"
"No","""Malware""","No","Yes","Yes","Yes","No","""""The need of awareness in cyber security with a case study""""","""""The security of information is still now a severe challenge to thwart the threats due to the lack of control on security breaches and awareness in the society. In this paper we elaborated a brief survey about anomalies related to cyber security in emerging applications as well as present information ingredients in the world. So this survey has concentrated on top malicious threats and malwares found in last three years. Finally we proposed a 3-Layer Security Paradigm (3-LSP) is suitable in all aspects of technological trends of huge expanded potential areas. The Layer-1 has a multilevel security model to aware of the threats by a traditional security ethics. In this layer we have given a case study on banking sector in India with new concept called ingredients of information by taking real time examples of cyber threats. This paper covered only Layer-1 with awareness statistics on spam, but Layer-2 and Layer-3 are optional here.""""","","""""G. R. Jidiga; P. Sammulal""""","2013","10.1109/ICCCNT.2013.6726789","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726789","IEEE Conferences"
"","""""","No","Yes","No","No","Yes","""""Note taking application with optical character recognition and bio-metric security""""","""""Notes are some other fashionable notepad-like apps for Android Devices, used in general to prepare the text. It is an easy and smooth UI to make and arrange works easy. These days, smartphones are the maximum not unusual place digital tool used in a commercial enterprise in addition to fashionable consumers, and note-taking is the maximum important in numerous businesses. But with inside the case of the not unusual place of human beings' mindset (in India), those notetaking programs are used to store passwords and banking details. Other apps offer protection to note-taking with protection features like pin/password/key. These might not be the maximum stable manner to defend and want to stable the statistics as a lot as possible. This may be accomplished via bio-metric protection, which measures a few bodily factors of someone who is attempting to get admission to touchy statistics. This bio-metric machine measures a man and women's fingerprints features like length and shape or facial features like head shape, nose position, etc., — to affirm whether that man or woman is the equal person who has formerly obtained authorization to get admission to the touchy statistics. The bio-metric era isn't a completely unique answer for authentication and gets admission to issues, however for maximum protection answers, biometrics are the fine answers. Here in our work, we are imposing bio-metric protection to the note-taking programs for android using cryptography protection with private key cryptography algorithms. In addition to security, we have also implemented optical character recognition so that users can also scan documents and capture text in applications.""""","","""""M. P. Kashyap; N. Sanket; T. Amrutha; C. Akhila; T. Madhuri""""","2021","10.1049/icp.2022.0321","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770677","IET Conferences"
"No","""Insecure Communication, Cryptography, Storage""","No","Yes","No","No","Yes","""""Effective Security Testing of Mobile Applications for Building Trust in the Digital World""""","""""In recent years, mobile applications have become increasingly important. These applications differ significantly from desktop and web applications, and being used increasingly in various enterprise domains. Accordingly, this motivates the mobile industries to increase the accessibility of mobile applications and their development across many platforms, including Android and iPhone. This research work discusses the security testing procedure and features of India's first indigenous AppStore “mSeva AppStore”. To ensure the quality of the hosted mobile applications, distinct techniques, and effective testing approaches are required. Before hosting the application on mSeva AppStore regressive testing is performed in all aspects like insecure permissions, data storage, secure logic, proper platform algorithms, etc. However, in the current mobile application testing scenario, other AppStore does not consider all factors before hosting the applications, which is quite necessary. This study highlights the key terminologies of mobile application testing and quality parameters. Further, demonstrates the actual results that are obtained during the security testing of various applications. Along with this, the first-ever Common Weakness Enumeration (CWE) based classification regarding common artifacts in mobile application testing is provided. The peculiarities discussed with respect to mobile applications and the testing requirements in the context of secure hosting will help the relevant researcher and stakeholders in this field.""""","Yes","""""K. Kant Kamal; P. Joshi; A. Bang; K. Bhatia""""","2023","10.1109/ICOEI56765.2023.10125814","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125814","IEEE Conferences"
"No","""Access control""","No","Yes","No","No","Yes","""""UPI Based Mobile Banking Applications – Security Analysis and Enhancements""""","""""Technology advancements have reduced the cost of both a mobile device and data connection making it affordable to all. In parallel, mobile applications are also rising providing the quick, easy door-step solution(s) to one's professional and personal requirements. In the current trend of the digital and cashless economy, mobile-based app solutions are easy to use and ubiquitous, facilitating a wide range of banking financial services (pay/collect money etc.) and non-financial services (cheque request, account balance, view transaction history etc.). Mobile app revolution is also accompanied by many known and unknown security risks. Out of the various mobile banking applications, UPI (Unified Payment Interface) based apps are simple, reliable, centrally certified (by NPCI (National Payment Corporation of India)) and more secured. Study of UPI apps revealed the possibility of further security enhancements utilizing technological advancements to detect cybercrimes and fraudulent mobile transactions. This paper discusses UPI based mobile apps (architecture, transactions, features and security issues) and information security enhancement proposals w.r.t authentication and authorization.""""","Yes","""""K. K. Lakshmi; H. Gupta; J. Ranjan""""","2019","10.1109/AICAI.2019.8701396","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8701396","IEEE Conferences"
"No","""""","No","No","Yes","No","Yes","""""Mobile App Usability Index (MAUI) for improving mobile banking adoption""""","""""India has 790+ million active mobile connections and 80.57 million smartphone users. However, as per Reserve Bank of India, the number of transactions performed using smartphone based mobile banking applicationsis less than 12% of the overall banking transactions. One of the major reasons for such low numbers is the usability of the mobile banking app. In this paper, we focus on usability issues related tomobile banking apps and propose a Mobile App Usability Index (MAUI) for enhancing the usability of a mobile banking app. The proposed Index has been validatedwith mobile banking channel managers, chief information security officers, etc.""""","","""""L. Mohan; N. Mathur; Y. R. Reddy""""","2015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320375","IEEE Conferences"
"Yes","""IPC, WebView, Insecure Communication, Storage, Cryptography""","No","Yes","No","No","Yes","""""Finding Vulnerabilities in E-Governance Apps of Android Platform""""","""""Around the globe, mobile devices like Smartphones, PDAs & tablets are playing an essential role in every person's day to day life. Out of various operating systems, Android OS is one of the most popular and user-friendly operating system for mobile devices. The Government of India is continuously focusing on digitizing its services to the citizen, so that maximum individuals can get benefit of these services and also it removes the middle man culture and minimize the corruption. Inspired by the steps of Government of India, many state governments also works in the same direction and made their services online through mobile applications. In this paper, we have analyzed some mobile applications of Madhya Pradesh Government and an exhaustive assessment has been done for Apps Vulnerability. After analyzing these apps, authors proposed some recommendations in the conclusion of the paper.""""","Yes","""""A. Ankur; S. Patel""""","2022","10.1109/ICTACS56270.2022.9988647","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988647","IEEE Conferences"
"Yes","""Malware""","No","Yes","No","No","Yes","""""Security Issues of Unified Payments Interface and Challenges: Case Study""""","""""NPCI, which stands for National Payment Corporation of India, was the organisation behind the idea of UPI, a user-friendly system in which funds can be directly transferred from the bank account to the account using a mobile phone. UPI is based on the concept of 1 click 2-factor authentication. The first factor is the user’s mobile phone itself, and the second factor is MPIN or bio-metrics. It is based on the IMPS(Immediate Payment Service), but there are considerable differences between both services, and we will observe it. With a foresight to make the Indian economy cashless, it helps people transfer funds in an immediate and real-time process. It has played a major role in the revolution of cashless transactions in India. Although significant UPI users are minor and much lesser compared to the Indian population, over 2.07 billion transactions per month have been made by UPI by October 2020, which makes it our essential part of our day-to-day life. This paper will discuss the working of UPI, how UPI is different from conventional cashless transaction methods. After that, we will discuss how the attacker can find the UPI’s loopholes (here we reviewed UPI BHIM 1.0) and empty the victim’s bank account. The attacker can make these attacks remotely, and these attacks can affect a single user to multiple users. We will also discuss how the attacker can achieve his/her goal using a malicious App. In the end, we will see how UPI BHIM 2.0 update was successful in covering this security loophole.""""","Yes","""""Y. Madwanna; M. Khadse; B. R. Chandavarkar""""","2021","10.1109/ICSCCC51823.2021.9478078","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478078","IEEE Conferences"
"","""""","No","Yes","No","Yes","No","""""Cyber Threats and Scams in FinTech Organizations: A brief overview of financial fraud cases, future challenges, and recommended solutions in Bangladesh""""","""""The idea of financial systems has changed with the touch of applications based on information technology and came up with a new terminology called ‘FinTech’ (Financial Technology). With the rising technology, Fintech has become a modern phenomenon. Financial organizations deal with highly confidential and sensitive information, including personal and financial data, all of which are the primary target of cybercriminals. Users and other stakeholders are massive in number, and many are not concerned about security, so they often find themselves as victims. The result of the study shows that from the perspective of Bangladesh, most of the attacks on the fintech industry are generated using ransomware and social engineering methods. It also shows that app-based Mobile Financial System (MFS) is the most affected sector in the financial system. The study provides a comprehensive framework, FinSec, which refers to the financial Security Framework to protect from cyber-attacks targeting any financial organization. It covers recommendations for regular end-users and anybody working in the financial sector. It also provides an architecture based on Consortium Blockchain, Hyper-ledger Fabric in a hybrid cloud to ensure a high level of security at the application level. Additionally, the framework proposes newer Three-Way Authentication (3WA) and Gamification to protect end-users. The research emphasizes ensuring a minimum level of training, as even after ensuring everything, massive damage can occur for the simplest mistake of the individuals related to the industry. To protect the financial system, from end-users to employees and user applications to the whole infrastructure, everything, and everyone should be secured. The framework hence recommends three subunits – Action, Knowledge, and Simulation Unit. These subunits protect the respective sector and, finally, end up protecting the fintech organizations.""""","","""""M. J. Hossain; R. H. Rifat; M. H. Mugdho; M. Jahan; A. A. Rasel; M. A. Rahman""""","2022","10.1109/ICIMCIS56303.2022.10017467","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017467","IEEE Conferences"
