"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"Harnessing Nigeria's Investment in Satellite Technology for Sustainable Agriculture and Food Security","This paper examines the relevance of satellite technology in promoting and sustaining agricultural development and food security in Africa and Nigeria in particular. Some of the common problems facing agricultural development in Nigeria and Africa as a whole are discussed. The authors justify the relevance of Nigeria's investment in satellite technology for improving agricultural production in Nigeria and Africa as a whole. The paper also presents selected applications of NigeriaSat-1 in sustainable agriculture and food security as embarked on by the government of Nigeria through the National Space Research and Development Agency. Policy recommendations were made to further boost agricultural production and food security in Africa and particularly Nigeria.","","Opeyemi ZA,Akinyede JO","","2012","63–72","10.4018/jagr.2012010106","https://doi-org.proxy.bnl.lu/10.4018/jagr.2012010106;http://dx.doi.org/10.4018/jagr.2012010106","Journal Article"
"Healthcare Providers’ Perspective about the Use of Telemedicine in Egypt: A National Survey","Incorporation of telemedicine in general clinical practice is becoming a compelling need nowadays in the context of COVID-19 pandemic and its consequent burdens on the healthcare systems. Though telemedicine appears to be appealing and carries a lot of advantages, yet it is still faced by many challenges and barriers especially in developing countries. Our aim was to explore the impression of healthcare providers about telemedicine and its applicability in clinical practice in Egypt. A cross-sectional study was conducted among healthcare providers from different Egyptian governorates through a web-based survey. The survey gathered information about demographic, socioeconomic features of the enrolled healthcare participants; their knowledge, previous experience, impression about telemedicine, advantages of telemedicine over traditional medical services, barriers that may face telemedicine, and additional services that can be provided by telemedicine were also explored. Our study enrolled 642 healthcare providers from all over Egypt, 43.77% were females, of which 55.5% were physicians, 27.3% were nurses, 6.1% were technicians, 7.6% were administrative clerks, and 3.6% were medical directors. Sixty-four percent of participants reported that they have never used telemedicine. Smartphones were the most commonly used mean in the group who used telemedicine (65%), and smartphone applications were the favorable telemedicine service for about 50% of participants. Participants assumed that the use of telemedicine might not have a negative effect on the doctor-patient relationship but raised some concerns regarding the privacy and security of patients’ data. Despite the fact that telemedicine appears to be appealing and widely accepted by healthcare providers, yet still, its implementation is confronted by some obstacles. Precise organizational guidelines need to be developed to clearly figure out the exact role of each healthcare provider to minimize their doubtfulness about telemedicine and to facilitate its adoption.","","Alboraie M,Abdalgaber M,Youssef N,Moaz I,Abdeen N,Abosheaishaa HM,Shokry MT,El-Raey F,Asfour SS,Abdeldayem WA,Hassan AA,Mahran EE,Tag-Adeen M,Elshaarawy O,Radwan MI,Altonbary A,Fouad Y,Tsiknakis M","","2022","","10.1155/2022/3811068","https://doi-org.proxy.bnl.lu/10.1155/2022/3811068;http://dx.doi.org/10.1155/2022/3811068","Journal Article"
"Heritage Building Information Modelling (HBIM) as a Tool for Heritage Conservation: Observations and Reflections on Data Collection, Management and Use in Research in a Middle Eastern Context","The rich architectural and urban heritage of Jordan is under continuing threat not only through means of physical attack but also physical disaster, increasing urbanization and a diminishing value from multiple stakeholders such as owners and users. This research study explores the potential of digital technologies in documenting and preserving urban architectural heritage in Jordan. Data was collected from diverse stakeholders on heritage conservation in Jordan. The findings evidence that Building Information Modelling (BIM) has the potential to create a classification system for heritage buildings under threat and set forth the application of legislation and regulations about heritage . The study demonstrated that the collection of data information needs to be understood through the context of cultural sensitivity. Lack of awareness in the value of cultural heritage from local communities exacerbates the diminishing efforts in preserving cultural assets. In collecting information for the documentation of this heritage, this study categorizes the challenges of preserving urban heritage as either hierarchical or cultural. The collection, management and storing of data for digital heritage requires an awareness of the issues of time and the power structures that are involved in their collection and upon which they have a profound effect.","","Aburamadan R,Moustaka A,Trillo C,Makore BC,Udeaja C,Gyau Baffour Awuah K","","2021","3–14","10.1007/978-3-030-77411-0_1","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-77411-0_1;http://dx.doi.org/10.1007/978-3-030-77411-0_1","Conference Paper"
"High Performance Java Card Operating System","Due to the fast evolving of trusted computing environments and internet-of-things an eager need has been established for open platforms which support interchangeable technologies to co-exist without threatening system's security. Certainly, future embedded applications will need high performance operating systems to support the intensive-computing algorithms required for satisfying acceptable response and secure the application inside the vulnerable open environment, hence, new inevitable requirements for embedded operating systems have arisen including hard real-time response, support for native applications, system openness and system scalability. This paper introduces a new design for secure and open smart card operating system, called ESCOS (Egypt Smart Card Operating System), based on the prevalent Java Card technology. The new design provides competitive characteristics in the main three factors of judging smart card platforms, namely, system security, supported technology and system response. In addition, ESCOS is designed to have high degree of modularity and re-configurability to meet fast-changing business needs and diverse hardware platforms.","","Eletriby MR,Sobh M,Eldin AM,Fahmy HM","","2014","30–39","10.1109/SERE.2014.16","https://doi-org.proxy.bnl.lu/10.1109/SERE.2014.16;http://dx.doi.org/10.1109/SERE.2014.16","Conference Paper"
"Home Edge Computing Architecture for Smart and Sustainable Agriculture and Breeding","Challenges of today and tomorrow in developing countries to ensure sustainable food security for their populations require smart agriculture and breeding. This necessarily depends on water control, soil erosion, livestock management, and so on. At the same time, Internet of Things (IoT) represents the latest evolution of the Internet and can significantly improve the ability to collect, analyze and retrieve data that we can then transform into information, knowledge and finally knowing. In the context of ensuring smart and sustainable agriculture, the importance of IoT seems obvious. Note that, IoT has implications for bandwidth, latency and processing speeds, given the huge amount of data to collect. Edge computing and Systems are one of the emerging solutions to reduce latency and improve bandwidth utilization for real-time applications and services. Thus, to achieve these aims, we propose, in this paper, a new three-tier architecture (3-TIER) for smart agriculture. It is based on that of Home Edge Computing allowing us to achieve ultra-low latency. This architecture will also allow us to effectively solve the problems related to agriculture and livestock breeding, but also to be able to resolve considerably the conflicts between farmers and herders. This proposal will be followed by an experimental validation of HEC architecture using the EdgeCloudSim simulator.","","Babou CS,Sane BO,Diane I,Niang I","","2019","","10.1145/3320326.3320377","https://doi-org.proxy.bnl.lu/10.1145/3320326.3320377;http://dx.doi.org/10.1145/3320326.3320377","Conference Paper"
"How Advances in Semiconductor Technologies Have Adversely Affected Electrical and Electronics Installations in Africa","This paper presents findings obtained in the Zambian national instrumentation surveys and highlights the little understood adverse effects that advances in semiconductor technology have on electrical and electronic instrumentation applied in all sectors in most African countries in particular Zambia. These effects have been occasioned by the lack of compliance to revised international installation and protection standards, poor power quality and poor planning compounded in many cases by severe weather conditions. These adverse impacts have been mainly caused by very high transistor integration in semiconductor (ICs). This has meant that electrical environment of yester year now requires vast improvements for the newer low dielectric strength component based equipment to operate reliably and safely. This paper finally describes good installation practices in power conditioning, earthing, bonding, surge and lightning protection solutions.","","Namukolo S,Musonda E","","2018","86–94","10.4108/eai.20-6-2017.2270803","https://doi-org.proxy.bnl.lu/10.4108/eai.20-6-2017.2270803;http://dx.doi.org/10.4108/eai.20-6-2017.2270803","Conference Paper"
"How to Define Value on Data under Blockchain Driven Open Data System for E-Government","Many interesting news and activities are going on in the field of blockchain (sometimes called, Distributed Ledger Technology) related technologies like cryptocurrency, Initial Coin Offering (ICO), Internet of Things (IoT), Big Data, Artificial Intelligence (AI, mostly Deep Learning). Not only developing countries but also developed countries need to be concerned about applying blockchain technology to their e-government system. Blockchain technology has brought a very deep innovation over conventional Client Server Trusted Third Party intermediary system to pure peer-to-peer (P2P) based smart contract system. This smart contract based peer-to-peer system allow participants to share data which was not possible under Client Server Trusted Third Party system due to architectural monopoly nature of Client Server. Smart contract concept brought logical conditions to share data among participants but it does not provide any definition about data value. This peer-to-peer based data sharing can be practically possible only under definition of value on data shared. If this definition is vague, then it will be very difficult to share data among participants. Also if this definition is clear, data sharing participants can get much benefit from this data sharing. This data sharing will be only effective from blockchain based architecture.","","Park JS,Kim YS,Choi CH,Shim J","","2018","670–672","10.1145/3209415.3209436","https://doi-org.proxy.bnl.lu/10.1145/3209415.3209436;http://dx.doi.org/10.1145/3209415.3209436","Conference Paper"
"ICT Supported Extension Services in Conservation Agriculture Information Access for Small Holder Farmers in Laikipia County, Kenya","This paper examines how Information Communication Technologies (ICTs) are used in the Conservation Agriculture (CA) knowledge pathways. It discusses the parallel knowledge pathways smallholder farmers' use to access conservation agriculture information. The objective of this study is to develop an effective dissemination model that exploits the use of ICTs in existing pathways in order to improve Conservation Agriculture knowledge flows. Design, Methodology and Approach: A total of one hundred and twenty-five respondents were interviewed, with a purposively selected sample of 110 CA farmers interviewed using semi-structured questionnaires. Using the snowball method, 15 key informant interviews were conducted with Policy makers and ICT service providers. 69% of the respondents were female and 51% male. The focus of the study was on the different ICTs used in the CA knowledge pathways, the dissemination pathways, institutional and socio-economic factors. Data was analyzed manually and using SSPS ver. 21. Preliminary findings indicate that a variety of knowledge pathways exist through which farmers can access CA knowledge. Four different kinds of ICT led models were identified, Government ICT led models, Government-NGO led models, Government-NGO-Private Sector ICT led model and NGO ICT led models. However the study notes a lack of harmonization and weak linkages between institutions in the utilization of the existing ICT models, utilization of the ICTs access and ownership at the household level and harmonization of the CA messages. Furthermore, even though there was 100% mobile phones ownership, 94% radio, 64% television, 10% Laptop and 9% Computer (desktop) access and ownership among the respondents, farmers and a large number of the extension staff lacked the skills to fully exploit the use of these tools to access CA knowledge. Implication: New emerging and existing communication technologies have a very high potential to improve agricultural knowledge flows if taken advantage of by the ""change agents"" in the diffusion process of new innovations. New online technologies known as Web 2.0 and ‘social media’ are slowly emerging as platforms for collaboration, sharing of product and market information. Open chain models of village information centres also provide numerous economic opportunities, and do also network communities while providing public/private services. The opportunity of using real time communication tools has been greatly embraced especially by the youthful farmers and the advantage of these new emerging tools is their unique attributes, similar to the traditional oral cultures of communication seen in the African social systems where one can see, hold a discussion, get immediate feedback and use the written media to convey messages. The high percentage of ownership and accessibility of ICTs among the survey population also offers the potential to fully exploit ICTs in the improvement of the CA knowledge pathways and agricultural information provision.","","Cox AJ,Sseguya H","","2015","1–6","10.1109/ISTAS.2015.7439408","https://doi-org.proxy.bnl.lu/10.1109/ISTAS.2015.7439408;http://dx.doi.org/10.1109/ISTAS.2015.7439408","Conference Paper"
"ICT for Human Development in South Pacific","The author worked past year as Professor & Head of School of Computing, Information and Mathematical Sciences and Director of Japan Pacific ICT Centre at the University of South Pacific. The South Pacific Region has many problems related to environmental and economic issues. The University of the South Pacific (USP) is an ideal platform for provision of development of Human Resources and enhancement of Human Security in the Pacific. Current dynamic Internet developments and continuous demand for the ubiquitous connectivity combined with the next generation of networks contributes towards creation the future cyberspace infrastructures worldwide. Implementation of the cyberspace in the government and corporate infrastructures, contributes towards creation of new paradigm in the decision making processes. Decisions that are currently governed by the human intelligence knowledge and intuition may be influenced by the cyber-data and processes. Future cyberspace will ultimately impact the decision making processes by government, corporate, industrial and academic institutions worldwide. Main objective of ICT Development is to build human-resource for ICT capacity development all across developing countries in the south pacific while “bridging the digital divide”. Main Goal was to provide the south pacific region with appropriate resources to take the lead role in driving the Pacific through Human Resource Development Programs. Specific Goal is to focus on developing and strengthening ICT skills applicable at the e-services level. The author discusses the development of new Japan Pacific Information Communications Technologies (ICT) Centre at the University of the South Pacific and ICT for Human Development and Security in the South Pacific Region. The main objective is to accommodate increasing demand for ICT-related education and training in the region and to accelerate research and development activities in the Pacific. The ICT Centre will play a facilitator role for ICT related education, Training; and Research and Development for the Pacific. In conclusion the author promotes discussion on the role of the role of the ICT in the South Pacific Region. The author opens discussion on ICT's social and ethical impact in the south pacific region in the context of governance vs. privacy.","","Babulak E","","2010","621–624","10.1109/MINES.2010.229","https://doi-org.proxy.bnl.lu/10.1109/MINES.2010.229;http://dx.doi.org/10.1109/MINES.2010.229","Conference Paper"
"ICT for the Prevention of Avian Influenza","This paper intends to point out some problem of telemetry for wild birds and future technical expectations to prevent Avian Influenza. The ITU-D(International Telecommunications Union, Development Sector ) SG2(Study Group) Q14(Question) Rapporteur's Meeting hosted by the Ministry of Internal Affairs and Communications of Japan started in Tokyo on July 3-4, 2008. The Q14 deals with application of information and telecommunication technologies in health care. Meeting participants discussed the application of the information and communications technologies to help resolve some issues related to the improvement of access to medical treatment of people living in rural and remote areas of developing countries. The participants have also raised the question about the threat of avian influenza and what could be done with the ultimate goal of preventing and containing this disease. There were considerable deliberation on this emerging disease threat. Therefore, it was recommended that the ITU has to initiate the discussion at appropriate international level on how to set up the Integrated Information and Communications Network for Avian Influenza by using advanced information and telecommunication technologies for tracking of migratory birds. The participants concur in adopting the results of their work as the Statement of Appeal.","","Nakajima I,Androuchko L,Juzoji H,Tomioka Y,Kitano T","","2009","124–129","","","Conference Paper"
"IPM-Model: AI and Metaheuristic-Enabled Face Recognition Using Image Partial Matching for Multimedia Forensics Investigation with Genetic Algorithm","The rapid enhancement in the development of information technology has driven the development of human facial image recognition. Recently, facial recognition has been successfully applied in several distinct domains with the help of computing and information technology. This kind of application plays a significant role in the process of digital forensics investigation, recognizing the patterns of a human face based on the partial matching of images that would be in 24-bit color image format, including the spacing of the eyes, the bridging of the nose, the contour of the lips, ears, and chin. In this paper, we have proposed and implemented an image recognition model based on principal component analysis, genetic algorithms, and neural networks, in which PCA reduces the dimension of the benchmark dataset, while genetic algorithms and neural nets optimize the searching patterns of image matching and provide highly efficient output with a minimal amount of time. Through the experiment results on the human facial images dataset of the Georgia Institute of Technology, the overall match showed that the proposed model can achieve the recognition of human face images with an accuracy rate of 93.7%. Moreover, this model helps to examine, analyze, and detect individuals by partial matching with reidentification in the procedure of forensics investigation. The experimental result shows the robustness of the proposed model in terms of efficiency compared to other state-of-the-art methods.","","Khan AA,Shaikh AA,Shaikh ZA,Laghari AA,Karim S","","2022","23533–23549","10.1007/s11042-022-12398-x","https://doi-org.proxy.bnl.lu/10.1007/s11042-022-12398-x;http://dx.doi.org/10.1007/s11042-022-12398-x","Journal Article"
"IT Enabled Counter Terrorism Infrastructure: Issues and Challenges","In the post 11 September 2001, terrorism has been an immediate and most serious threat to the free world because of its real and potential damage to the infrastructure, economy and people. In response to the 11 September 2001 terrorist attacks, developed and developing countries, such as USA and Pakistan, have emerged as front line states in the fight against terrorism with the following objectives: (1) prevent future terrorist attacks, (2) reduce the nations vulnerability and (3) minimise the damage and recovery from attacks that occur. In order to achieve these objectives, we require new approaches to intelligence and information gathering and its analysis through the use of information technology. In this paper, we attempt to identify (1) the areas where IT can contribute in accomplishing these three strategic security objectives, (2) the unique IT problems and challenges in counter terrorism applications where such applications are being used and developed such as in USA and (3) lessons learned for developing countries such as Pakistan, so that an IT counter terrorism infrastructure can be established with minimum cost in terms of time and money.","","Ahsan S","","2007","117–124","10.1504/IJESDF.2007.013597","https://doi-org.proxy.bnl.lu/10.1504/IJESDF.2007.013597;http://dx.doi.org/10.1504/IJESDF.2007.013597","Journal Article"
"Identification of Ditches and Furrows Using Remote Sensing: Application to Sediment Modelling in the Tana Watershed, Kenya","Ridge-tillage is an agricultural practice where crops are planted on elevated ridges, with furrows in-between. Ridge-tillage has been shown to significantly reduce erosion from croplands, but data on the presence of ridge-tillage is sparse and challenging to collect at the landscape scale. Thus, water quality models often do not account for ridge-tillage in a spatially-explicit manner, potentially overlooking the important impacts of this practice. We have developed a novel method that exploits the spectral, radiometric and linearity shape characteristics to identify both drainage ditches and ridge-tillage furrows using remote sensing of 0.5 m satellite data. We applied the method to the Sasumua watershed in Kenya, where we had false positives in only 3% of randomly selected polygons, and we detected the majority of ditches in 59% of randomly selected polygons. We then assessed the potential value of including these data in sediment modelling, showing that representing these practices could reduce sediment export in the study area by roughly 80%. Being able to readily identify the presence of ditches and furrows could enable the development of more accurate water quality models, and help identify priority areas for intervention to improve water quality and possibly crop yields through changing agricultural practices or policies.","","Ayana EK,Fisher JR,Hamel P,Boucher TM","","2017","4611–4630","10.1080/01431161.2017.1327125","https://doi-org.proxy.bnl.lu/10.1080/01431161.2017.1327125;http://dx.doi.org/10.1080/01431161.2017.1327125","Journal Article"
"Identifying the Implied: Findings from Three Differentiated Replications on the Use of Security Requirements Templates","Identifying security requirements early on can lay the foundation for secure software development. Security requirements are often implied by existing functional requirements but are mostly left unspecified. The Security Discoverer (SD) process automatically identifies security implications of individual requirements sentences and suggests applicable security requirements templates. The objective of this research is to support requirements analysts in identifying security requirements by automating the suggestion of security requirements templates that are implied by existing functional requirements. We conducted a controlled experiment in a graduate-level security class at North Carolina State University (NCSU) to evaluate the SD process in eliciting implied security requirements in 2014. We have subsequently conducted three differentiated replications to evaluate the generalizability and applicability of the initial findings. The replications were conducted across three countries at the University of Trento, NCSU, and the University of Costa Rica. We evaluated the responses of the 205 total participants in terms of quality, coverage, relevance and efficiency. We also develop shared insights regarding the impact of context factors such as time, motivation and support, on the study outcomes and provide lessons learned in conducting the replications. Treatment group, using the SD process, performed significantly better than the control group (at p-value <0.05) in terms of the coverage of the identified security requirements and efficiency of the requirements elicitation process in two of the three replications, supporting the findings of the original study. Participants in the treatment group identified 84 % more security requirements in the oracle as compared to the control group on average. Overall, 80 % of the 111 participants in the treatment group were favorable towards the use of templates in identifying security requirements. Our qualitative findings indicate that participants may be able to differentiate between relevant and extraneous templates suggestions and be more inclined to fill in the templates with additional support. Security requirements templates capture the security knowledge of multiple experts and can support the security requirements elicitation process when automatically suggested, making the implied security requirements more evident. However, individual participants may still miss out on identifying a number of security requirements due to empirical constraints as well as potential limitations on knowledge and security expertise.","","Riaz M,King J,Slankas J,Williams L,Massacci F,Quesada-López C,Jenkins M","","2017","2127–2178","10.1007/s10664-016-9481-1","https://doi-org.proxy.bnl.lu/10.1007/s10664-016-9481-1;http://dx.doi.org/10.1007/s10664-016-9481-1","Journal Article"
"Image Fusion for Enhanced Forest Structural Assessment","This research explores the potential benefits of fusing active and passive medium-resolution satellite-borne sensor data for forest structural assessment. Image fusion was applied as a means of retaining disparate data features relevant to modelling and mapping of forest structural attributes in even-aged (4-11 years) Eucalyptus plantations, located in the southern KwaZulu-Natal midlands of South Africa. Remote-sensing data used in this research included the visible and near-infrared bands of the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER), as well as a fine-beam (6.25 m resolution) Radarsat-1 image. Both datasets were collected during the spring of 2006 and fused using a modified discrete wavelet transformation. Spatially referenced forest-inventory data were also collected during this time, with 122 plots enumerated in 38 plantation compartments. Empirical relationships (ordinary and multiple regression) were used to test whether fused data sources produced superior statistical models. Secondary objectives of the article included exploring the roles of texture, derived from grey-level co-occurrence matrices, and scale in terms of forest modelling at the plot and extended plot levels (Voroni diagrams). Results indicate that single bands from both the optical and Synthetic Aperture Radar (SAR) datasets were not adept at modelling basal area and merchantable timber volume with adjusted R2 (coefficient of determination) values < 0.3. An optimized multiple-regression approach (adjusted R2) improved results based on mean, range and standard deviation statistics when compared to single bands, but were still not suitable for operational forest applications (basal area: R2 = 0.55, volume: R2 = 0.59). No significant difference was found between fused and non-fused datasets; however, optical and fused datasets produced superior models when compared to SAR results. Investigations into potential benefits of using textural indices and varied scales also returned inconclusive results. Findings indicate that the spatial resolutions of both sensors are inappropriate for plantation forest assessment. The frequency of the C-band Radarsat-1 data is, for instance, unable to penetrate the canopy and interact with the woody structures below canopy, leading to weak statistical models. The lack of variability in both the optical and SAR data lead to unconvincing results in the fused imagery, where, in some cases, the adjusted R2 results were worse than the single-dataset approach. It was concluded that future research should focus on high-spatial-resolution optical and Light Detection and Ranging (LiDAR) data and the development of automated and semi-automated forest-inventory procedures.","","Roberts JW,Van Aardt JA,Ahmed FB","","2011","243–266","10.1080/01431160903463684","https://doi-org.proxy.bnl.lu/10.1080/01431160903463684;http://dx.doi.org/10.1080/01431160903463684","Journal Article"
"Impact of Digital Marketing on Consumers' Impulsive Online Buying Tendencies With Intervening Effect of Gender and Education: B2C Emerging Promotional Tools","We are living in the digital age where consumers have become more elegant, and their buying intention is radically transforming from traditional to online buying behavior. This study investigates the impact of digital marketing (DM) tools on consumers' online impulsive buying tendencies (OBIT), i.e., effective (AD) and cognitive tendencies (CD) with intervening role of the gender (GDR) and education-level (EL). Four hundred surveys were randomly distributed to online shoppers in Pakistan. SEM was applied to test the proposed relationships and findings revealed a positive association between DM and consumers' OBIT. The comprehensive examination affirmed the positive interrelationships of sub-dimensions of DM on consumers' OBIT, i.e., AD and CD. It is further revealed that GDR and EL did not moderate the relationships between DM and OBIT. This study furnishes insights on how advertisers can exploit such platforms to achieve OBIT and creating effective relationships in today's digital age. This study demonstrates certain directions for academicians and practitioners.","","Waheed A,Wang D,Sarwar-A Alam MD","","2019","44–59","10.4018/IJEIS.2019070103","https://doi-org.proxy.bnl.lu/10.4018/IJEIS.2019070103;http://dx.doi.org/10.4018/IJEIS.2019070103","Journal Article"
"Implementing Data Security in Student Lifecycle Management System at the University of Prishtina","In this paper is presented a novel approach for fulfilling the data security criteria in a Student Lifecycle Management System at the University of Prishtina. The four main criteria of data security such as: privacy, authentication, integrity and non-repudiation are fulfilled through carefully selected security policies. Student data privacy is achieved using the Secure Socket Layer protocol for web communication with web server. Each user, being student, academic or administrative staff is provided with unique user name and initial password in the Student Lifecycle Management System. Data integrity and non-repudiation are fulfilled using digital signatures. The novelty of implemented solution is based on extending the subject name in X.509 digital certificates and using this certificate for securing student grades, which is in full compliance with the Kosovo Law on Information Society. Public Key Infrastructure and X.509 digital certificates have been established as the most trustworthy methods for assuring data security criteria in modern software applications. Security policy enforces that digital certificate and its associated private key shall be stored in a smart card. Access to private key stored in a smart card is protected by Personal Identification Number, known only by smart card holder. This implementation was installed at the Faculty of Electrical and Computer Engineering and has successfully passed a six semester testing period and students were, for the first time in the history of the University of Prishtina, able to apply online to take an exam.","","Rexha B,Lajqi H,Limani M","","2010","965–974","","","Journal Article"
"Important Role of the Hall Effect Measurement System in a Modified Course of Materials in Electrical Engineering","The course ldquoMaterials in Electrical Engineeringrdquo is a core course in the Mechatronics curriculum at the Faculty of Technical Sciences, University of Novi Sad, Serbia. In the past, this course was comprehensive and mainly theory-based. Teaching methods used in this course had not been changed for many years, and were mainly based on a traditional approach. They were therefore often outdated, and boring for students. In addition, the lack of modern materials characterization equipment was a significant weakness of the course in its early stages. This paper presents the main aspects of the modified course, which features a greater inclusion of modern equipment in its teaching methodology; in particular it introduces the Hall effect measurement system as an indispensable characterization technique in education, research and in the semiconductor industry. This paper also describes how students can be taught to use the Hall effect measurement system to determine the structural and electrical characteristics of different materials. Finally, students' feedback and observations on the modified course and the applied teaching methodology are discussed.","","Stojanovic G,Savic S,Zivanov L","","2009","297–304","10.1109/TE.2008.928206","https://doi-org.proxy.bnl.lu/10.1109/TE.2008.928206;http://dx.doi.org/10.1109/TE.2008.928206","Journal Article"
"Improved List Decoding of Generalized Reed-Solomon and Alternant Codes over Galois Rings","We present a two-stage list decoder comprising an errors-only Guruswami-Sudan (GS) decoder and an errors-and-erasures GS decoder as component decoders in the first and second stage, respectively. The two stages are coupled via a post-processor which selects a codeword from the output list of the first component decoder, from which erasure locations are obtained for the second stage. When applied to a generalized Reed-Solomon (RS) code over a Galois ring R that maps into a generalized RS code of the same length n and minimum (Hamming) distance d over the corresponding residue field, the proposed decoder exploits the presence of zero divisors in R to correct s errors where w=lceiln-radic(n(n-d))-1rceil<sleslceiln- radic((n-w)(n-d))-1rceil with a probability determined by s, w, and the ratio of the number of nontrivial zero divisors to the number of units in the code alphabet. Focusing primarily on alternant codes over Zopf(2l), an important class of subring subcodes of generalized RS codes over GR(2l,a), we demonstrate that the GS decoding radius w can be exceeded by a substantial margin with significant probability","","Armand MA","","2005","728–733","10.1109/TIT.2004.840901","https://doi-org.proxy.bnl.lu/10.1109/TIT.2004.840901;http://dx.doi.org/10.1109/TIT.2004.840901","Journal Article"
"Improved Meet-in-the-Middle Attacks on Reduced-Round Kalyna-128/256 and Kalyna-256/512","Kalyna is an SPN-based block cipher that was selected during the Ukrainian National Public Cryptographic Competition (2007---2010) and its slight modification was approved as the new encryption standard of Ukraine. In this paper, we focus on the key-recovery attacks on reduced-round Kalyna-128/256 and Kalyna-256/512 with the meet-in-the-middle method. The differential enumeration technique and key-dependent sieve technique which are popular to analyze AES are used to attack them. Using the key-dependent sieve technique to improve the complexity is not an easy task, we should build some tables to achieve this. Since the encryption procedure of Kalyna employs pre- and post-whitening operations using addition modulo $$2^64$$264 applied on the state columns independently, we carefully study the propagation of this operation and propose an addition plaintext structure to solve this. For Kalyna-128/256, we propose a 6-round distinguisher, and achieve a 9-round (out of total 14-round) attack. For Kalyna-256/512, we propose a 7-round distinguisher, then achieve an 11-round (out of total 18-round) attack. As far as we know, these are currently the best results on Kalyna-128/256 and Kalyna-256/512.","","Lin L,Wu W","","2018","721–741","10.1007/s10623-017-0353-5","https://doi-org.proxy.bnl.lu/10.1007/s10623-017-0353-5;http://dx.doi.org/10.1007/s10623-017-0353-5","Journal Article"
"Improving Security Awareness in the Government Sector","The increasing use of internet and smart mobile devices for accessing, storing and generating sensitive e-government data makes them an attractive attack vector for cyber-criminals. New technology adoption typically requires specialized training and awareness campaigns where people acquire new skills, learn about best practices and potential pitfalls of adoption. In this paper, we present results from a survey in Pakistan to help understand the level of cyber security awareness and understanding in the Government sector. The goal of the survey is to help identify at-risk demographics, problems, risks and key areas of concern that need to be addressed through customized education material and trainings. We then discuss design strategies to reduce the security and privacy risk faced by mobile device users of Government departments.","","Amjad HA,Naeem U,Zaffar MA,Zaffar MF,Choo KK","","2016","1–7","10.1145/2912160.2912186","https://doi-org.proxy.bnl.lu/10.1145/2912160.2912186;http://dx.doi.org/10.1145/2912160.2912186","Conference Paper"
